Name,Gym,Weight,Rank,latitude,longitude
Shavkat Rakhmonov,Sanford MMA,Welterweight,3,26.32257487,-80.11193155
Vicente Luque,Sanford MMA,Welterweight,13,26.32257487,-80.11193155
Johnny Walker,SBG Ireland,Light Heavyweight,9,53.33647107,-6.322290578
Jack Della Maddalena,Scrappy MMA,Welterweight,5,-32.0397391,115.88215
Aljamain Sterling,Serra-Longo MMA,Featherweight,8,40.805805,-73.253616
Merab Dvalishvili,Serra-Longo MMA,Bantamweight,1,40.805805,-73.253616
Julianna Peña,"Sik-Jitsu Spokane, WA",Women's Bantamweight,1,47.65903,-117.42208
Calvin Kattar,Sityodtong - Boston,Featherweight,9,42.38768866,-71.0568
Rob Font,Sityodtong - Boston,Bantamweight,9,42.38768866,-71.0568
Stipe Miocic,Strongstyle Fight Team,Heavyweight,6,41.41489923,-81.64389972
Alex Perez,Syndicate MMA,Flyweight,6,36.056956,-115.245147
Arman Tsarukyan,Syndicate MMA,Lightweight,1,36.056956,-115.245147
Khalil Rountree Jr.,Syndicate MMA,Light Heavyweight,8,36.056956,-115.245147
Norma Dumont,Syndicate MMA,Women's Bantamweight,10,36.056956,-115.245147
Josh Emmett,Team Alpha Male,Featherweight,7,38.55326537,-121.4255428
Maycee Barber,Team Alpha Male,Women's Flyweight,4,38.55326537,-121.4255428
Song Yadong,Team Alpha Male,Bantamweight,7,38.55326537,-121.4255428
Yan Xiaonan,Team Alpha Male,Women's Strawweight,2,38.55326537,-121.4255428
Natalia Silva,Team Borracha,Women's Flyweight,8,-19.93589311,-44.05171715
Paulo Costa,Team Borracha,Middleweight,8,-19.93589311,-44.05171715
Dricus Du Plessis,Team CIT MMA,Middleweight,Champion,-25.74195436,28.24353087
Tom Aspinall,Team Kaobon,Heavyweight,1,53.44927092,-2.806006674
Alex Pereira,Teixeira MMA & Fitness,Light Heavyweight,Champion,41.416772,-73.390839
Kyler Phillips,The MMA Lab,Bantamweight,11,33.64263601,-112.1172716
Mario Bautista,The MMA Lab,Bantamweight,12,33.64263601,-112.1172716
Sean O'Malley,The MMA Lab,Bantamweight,Champion,33.64263601,-112.1172716
Tatsuro Taira,The Paraestra Okinawa,Flyweight,5,26.20185561,127.693132
Petr Yan,Tiger Muay Thai,Bantamweight,3,7.882835,98.39086
Rafael Fiziev,Tiger Muay Thai,Lightweight,8,7.882835,98.39086
Valentina Shevchenko,Tiger Muay Thai,Women's Flyweight,1,7.882835,98.39086
Tai Tuivasa,TK MMA,Heavyweight,10,-33.77765915,151.1700573
Kevin Holland,Travis Lutter BJJ,Welterweight,15,32.71915214,-97.43719861
Azamat Murzakanov,Unknown,Light Heavyweight,14,1,1
Marina Rodriguez,Unknown,Women's Strawweight,6,1,1
Stephen Thompson,Upstate Karate Family Martial Arts Center,Welterweight,9,34.74091383,-82.27737718
Nikita Krylov,Vale Tudo MMA,Light Heavyweight,6,54.72600995,25.29897927
Belal Muhammad,Valle Flow Striking Academy,Welterweight,Champion,41.97064334,-87.93916593
Yair Rodriguez,Valle Flow Striking Academy,Featherweight,4,41.97064334,-87.93916593
Benoît Saint Denis,Venum Training Camp Paris,Lightweight,12,48.74385346,2.359206637
Nassourdine Imavov,Venum Training Camp Paris,Middleweight,4,48.74385346,2.359206637
Jan Błachowicz,WCA,Light Heavyweight,4,52.30238096,20.93406334
Steve Erceg,Wilkes MMA,Flyweight,7,-32.04228127,115.8230376
Amir Albazi,Xtreme Couture,Flyweight,3,36.226171,-115.323575
Casey O'Neill,Xtreme Couture,Women's Flyweight,15,36.226171,-115.323575
Chris Curtis,Xtreme Couture,Middleweight,15,36.226171,-115.323575
Dan Ige,Xtreme Couture,Featherweight,14,36.226171,-115.323575
Magomed Ankalaev,Xtreme Couture,Light Heavyweight,2,36.226171,-115.323575
Manel Kape,Xtreme Couture,Flyweight,9,36.226171,-115.323575
Michel Pereira,Xtreme Couture,Middleweight,13,36.226171,-115.323575
Miesha Tate,Xtreme Couture,Women's Bantamweight,9,36.226171,-115.323575
Roman Dolidze,Xtreme Couture,Middleweight,10,36.226171,-115.323575
Sean Strickland,Xtreme Couture,Middleweight,1,36.226171,-115.323575
